"행정구역","2025년09월_총인구수","2025년09월_세대수","2025년09월_남자 인구수","2025년09월_여자 인구수"
"전국  (1000000000)","51,149,546","24,282,926","25,455,867","25,693,679"
"서울특별시  (1100000000)","9,318,500","4,505,357","4,491,997","4,826,503"
"부산광역시  (2600000000)","3,248,359","1,574,726","1,579,327","1,669,032"
"대구광역시  (2700000000)","2,356,372","1,111,207","1,154,611","1,201,761"
"인천광역시  (2800000000)","3,046,754","1,396,627","1,521,985","1,524,769"
"광주광역시  (2900000000)","1,397,122","659,278","689,326","707,796"
"대전광역시  (3000000000)","1,442,228","697,288","718,760","723,468"
"울산광역시  (3100000000)","1,092,634","498,241","562,946","529,688"
"세종특별자치시  (3600000000)","392,230","165,343","195,235","196,995"
"경기도  (4100000000)","13,721,178","6,110,044","6,891,911","6,829,267"
"강원특별자치도  (5100000000)","1,509,396","767,540","758,966","750,430"
"충청북도  (4300000000)","1,592,431","794,981","811,457","780,974"
"충청남도  (4400000000)","2,136,551","1,061,546","1,096,785","1,039,766"
"전북특별자치도  (5200000000)","1,727,716","868,058","860,760","866,956"
"전라남도  (4600000000)","1,779,599","913,933","898,858","880,741"
"경상북도  (4700000000)","2,512,441","1,296,514","1,271,548","1,240,893"
"경상남도  (4800000000)","3,210,425","1,546,862","1,618,878","1,591,547"
"제주특별자치도  (5000000000)","665,610","315,381","332,517","333,093"
